Datetime,Open,High,Low,Last,Volume,Dividends,Stock splits
1/3/2022 9:30,298.15,304.2999,297.85,304.0299,1827510,0,0
1/3/2022 9:35,303.98,307.11,303.4,305.38,1482708,0,0
1/3/2022 9:40,305.42,306.19,304.2,305.238,921839,0,0
1/3/2022 9:45,305.24,305.51,301.5,301.85,1036683,0,0
1/3/2022 9:50,301.94,302.16,299.4,300.6,1033115,0,0
1/3/2022 9:55,300.54,301.68,299.98,300.958,807670,0,0
1/3/2022 10:00,301.05,303.92,300.79,303.16,670244,0,0
1/3/2022 10:05,303.15,303.84,302.14,302.73,445911,0,0
1/3/2022 10:10,302.7522,304.36,301.54,303.69,631331,0,0
1/3/2022 10:15,303.7116,304.25,302.8733,303.8399,516503,0,0
1/3/2022 10:20,303.69,303.76,300.7913,303.01,580278,0,0
1/3/2022 10:25,303,303.53,302.43,302.9722,324568,0,0
1/3/2022 10:30,302.965,303.42,302.26,303.16,306644,0,0
1/3/2022 10:35,303.1711,303.58,301.86,302.502,371989,0,0
1/3/2022 10:40,302.47,303.6615,301.9001,303.162,387974,0,0
1/3/2022 10:45,303.14,304.84,302.9205,304.19,502510,0,0
1/3/2022 10:50,304.11,305.2943,303.9,305.16,447161,0,0
1/3/2022 10:55,305.19,305.71,304.77,305.12,350492,0,0
1/3/2022 11:00,305.11,305.4106,304.52,305.1672,298987,0,0
1/3/2022 11:05,305.15,306.51,304.745,304.9701,513921,0,0
1/3/2022 11:10,305.03,305.03,303.6537,304.0782,381741,0,0
1/3/2022 11:15,304.085,304.4,303.56,304.09,234694,0,0
1/3/2022 11:20,304.06,304.5299,303.6448,304.11,229265,0,0
1/3/2022 11:25,304.13,304.71,303.65,304.1296,305659,0,0
1/3/2022 11:30,304.12,304.3299,303.51,304.1354,220839,0,0
1/3/2022 11:35,304.11,304.2099,302.41,302.459,327430,0,0
1/3/2022 11:40,302.43,303.51,302.43,303.2737,202789,0,0
1/3/2022 11:45,303.26,304.07,302.81,303.455,258113,0,0
1/3/2022 11:50,303.4,303.4999,301.83,302.24,312175,0,0
1/3/2022 11:55,302.225,302.3494,301.5473,301.7799,194155,0,0
1/3/2022 12:00,301.7,301.87,301.01,301.8,311911,0,0
1/3/2022 12:05,301.8001,301.9142,301.22,301.5499,221331,0,0
1/3/2022 12:10,301.55,301.73,300.5,301.2,326947,0,0
1/3/2022 12:15,301.1871,301.751,301.1871,301.57,138906,0,0
1/3/2022 12:20,301.58,302.48,301.4609,302.425,197929,0,0
1/3/2022 12:25,302.43,302.43,302.05,302.335,121017,0,0
1/3/2022 12:30,302.3369,302.39,301.78,302.085,129129,0,0
1/3/2022 12:35,302.0501,302.12,301.5,301.85,121552,0,0
1/3/2022 12:40,301.8799,302.2,301.5401,302.125,101666,0,0
1/3/2022 12:45,302.17,302.89,302.1576,302.73,215730,0,0
1/3/2022 12:50,302.75,303.14,301.77,302.0084,160141,0,0
1/3/2022 12:55,302.04,302.31,301.86,301.96,111563,0,0
1/3/2022 13:00,302.02,302.07,301.6301,301.88,118931,0,0
1/3/2022 13:05,301.86,302.16,301.75,302.0376,182979,0,0
1/3/2022 13:10,301.99,302.78,301.71,302.48,250110,0,0
1/3/2022 13:15,302.47,302.6199,301.95,302.035,198964,0,0
1/3/2022 13:20,302.01,302.03,301.1401,301.43,210921,0,0
1/3/2022 13:25,301.44,301.4593,300.55,300.79,240263,0,0
1/3/2022 13:30,300.77,300.93,300.01,300.2654,264802,0,0
1/3/2022 13:35,300.28,300.5,299.73,299.9901,249460,0,0
1/3/2022 13:40,299.99,300.7599,299.85,300.1193,246975,0,0
1/3/2022 13:45,300.16,300.21,299.3505,299.8824,228895,0,0
1/3/2022 13:50,299.89,299.93,299.1301,299.33,235354,0,0
1/3/2022 13:55,299.37,299.84,299.17,299.6399,238294,0,0
1/3/2022 14:00,299.64,300.23,299.4837,299.7999,245370,0,0
1/3/2022 14:05,299.8199,300.31,299.34,300.045,178862,0,0
